bkp_obs;CD_EVENTO;char;3;NULL;NULL;NO;NULL;NAO
bkp_obs;IN_APLICAVEL;char;1;NULL;NULL;NO;NULL;NAO
bkp_obs;CD_RESP_APLICACAO;char;4;NULL;NULL;YES;NULL;NAO
bkp_obs;CD_RESP_REALIZACAO;char;4;NULL;NULL;YES;NULL;NAO
bkp_obs;CD_RESP_INSPECAO;char;4;NULL;NULL;YES;NULL;NAO
bkp_obs;DT_APLICACAO;datetime;NULL;NULL;NULL;YES;NULL;NAO
bkp_obs;DT_REALIZACAO;datetime;NULL;NULL;NULL;YES;NULL;NAO
bkp_obs;DT_INSPECAO;datetime;NULL;NULL;NULL;YES;NULL;NAO
bkp_obs;CD_RESULT_INSPECAO;char;1;NULL;NULL;YES;NULL;NAO
bkp_obs;NR_RNC;varchar;8;NULL;NULL;YES;NULL;NAO
bkp_obs;DT_PREVISTA;datetime;NULL;NULL;NULL;YES;NULL;NAO
bkp_obs;DT_LIMITE;datetime;NULL;NULL;NULL;YES;NULL;NAO
bkp_obs;NR_ORDEM;smallint;NULL;5;0;YES;NULL;NAO
bkp_obs;TX_OBS;text;2147483647;NULL;NULL;YES;NULL;NAO
bkp_obs;IN_BLOQUEADO;char;1;NULL;NULL;YES;NULL;NAO
bkp_obs;IN_ALERTA_ENVIADO;char;1;NULL;NULL;YES;NULL;NAO
bkp_TCONFIG_PAIS_ACORDO_NORMA_PADRAO;CD_PAIS;char;3;NULL;NULL;YES;NULL;NAO
bkp_TCONFIG_PAIS_ACORDO_NORMA_PADRAO;CD_ACORDO;char;10;NULL;NULL;YES;NULL;NAO
bkp_TCONFIG_PAIS_ACORDO_NORMA_PADRAO;CD_NORMA;char;10;NULL;NULL;YES;NULL;NAO
bkp_TCONFIG_PAIS_ACORDO_NORMA_PADRAO;CD_IDIOMA;char;1;NULL;NULL;YES;NULL;NAO
CAD_UF_ICMS_ONLINE;UF_CLIENTE;char;2;NULL;NULL;YES;NULL;NAO
CAD_UF_ICMS_ONLINE;UF_DESPACHO;char;2;NULL;NULL;YES;NULL;NAO
CAD_UF_ICMS_ONLINE;SITE_DESC;varchar;200;NULL;NULL;YES;NULL;NAO
CDATA;cfid;char;20;NULL;NULL;YES;NULL;NAO
CDATA;app;char;64;NULL;NULL;YES;NULL;NAO
CDATA;data;text;2147483647;NULL;NULL;YES;NULL;NAO
CGLOBAL;cfid;char;20;NULL;NULL;YES;NULL;NAO
CGLOBAL;data;text;2147483647;NULL;NULL;YES;NULL;NAO
