FOREIGN_KEY,TABELA_ORIGEM,COLUNA_ORIGEM,TABELA_DESTINO,COLUNA_DESTINO
TEVENTO_TFATORES_SERVICO_EVENTO_CD_EVENTO,TFATORES_EVENTO,CD_EVENTO,TEVENTO,CD_EVENTO
TFATORES_TFATORES_SERVICO_EVENTO,TFATORES_EVENTO,CD_FATOR,TFATORES,CD_FATOR
TFATORES_SERVICOS_TFATORES,TFATORES_SERVICOS,CD_FATOR,TFATORES,CD_FATOR
TFATORES_SERVICOS_TSERVICO_NOVO,TFATORES_SERVICOS,CD_SERVICO,TSERVICO_NOVO,CD_SERVICO
FK__TGRUPO_RE__CD_GR__3859A55D,TGRUPO_REAJUSTE_CONTRATO,CD_GRUPO,TGRUPO,CD_GRUPO
FK_TITENS_PARAMETRO_TBANCO,TITENS_PARAMETRO,CD_BANCO,TBANCO,CD_BANCO
FK_TMERCADORIA_TPLANEJADORES,TMERCADORIA,CD_PLANEJADOR,TPLANEJADORES,CD_PLANEJADOR
FK_TMERCADORIA_EXP_TDESC_MERC_DRAFT,TMERCADORIA_EXP,CD_DESC_MERCADORIA_DRAFT,TDESCRICAO_MERCADORIA_DRAFT,CODIGO
PK_TMERCADORIA_EXP_ACP_CD_ACORDO,TMERCADORIA_EXP_ACP,CD_ACORDO,TACORDO,CODIGO
PK_TMERCADORIA_EXP_ACP_CD_MERCADORIA,TMERCADORIA_EXP_ACP,CD_MERCADORIA,TMERCADORIA_EXP,CD_MERCADORIA
PK_TMERCADORIA_EXP_ACP_CD_PAIS,TMERCADORIA_EXP_ACP,CD_PAIS,TPAIS_BROKER,CD_PAIS
FK_TMERCADORIA_EXP_COD_CD_MERCADORIA,TMERCADORIA_EXP_COD,CD_MERCADORIA,TMERCADORIA_EXP,CD_MERCADORIA
FK_TMERCADORIA_EXP_COD_FEDERACAO,TMERCADORIA_EXP_COD,FEDERACAO_ID,FEDERACAO,ID
FK_TMERCADORIA_EXP_DO_DECLARACAO_ORIGEM,TMERCADORIA_EXP_DO,ID_DECLARACAO_ORIGEM,DECLARACAO_ORIGEM,ID
FK_PRE_CALCULO_ADICAO_NR_PROCESSO,TPRE_CALCULO_ADICAO,NR_PROCESSO,TPRE_CALCULO_CAPA,NR_PROCESSO
FK_TPREVISAO_ADICAO_CFOP,TPREVISAO_ADICAO,CD_CFOP,TCFOP,CD_CFOP
FK_TPROCESSO_CNTR_CLIENTES_CLI,TPROCESSO_CNTR,ID_CLIENTES_CLI,CLIENTES_CLI,ID
FK_TIPOACORDOCOEMRCIAL_ID,TPROCESSO_EXP,TIPOACORDOCOEMRCIAL_ID,ACORDO_COMERCIAL,ID
FK_TTP_COMPONENTE_TPROPRIEDADE_COMPONENTE,TPROPRIEDADE_COMPONENTE,CD_TIPO_COMPONENTE,TTP_COMPONENTE,CD_TIPO_COMPONENTE
FK_TTP_PROPRIEDADE_TPROPRIEDADE_COMPONENTE,TPROPRIEDADE_COMPONENTE,CD_TIPO_PROPRIEDADE,TTP_PROPRIEDADE,CD_TIPO_PROPRIEDADE
FK_TROBO_TROBO_HISTORICO,TROBO_HISTORICO,CD_ROBO,TROBO,CD_ROBO
TEVENTO_TSERVICO_EVENTO_NOVO,TSERVICO_EVENTO_NOVO,CD_EVENTO,TEVENTO,CD_EVENTO
TSERVICO_NOVO_TSERVICO_EVENTO_NOVO,TSERVICO_EVENTO_NOVO,CD_SERVICO,TSERVICO_NOVO,CD_SERVICO
FK_TTRANSP_ROD_DNER_TTRANSP_ROD,TTRANSP_ROD_DNER,CD_TRANSP_ROD,TTRANSP_ROD,CD_TRANSP_ROD
